"","Message","category"
"1","Last week I hosted my ballots and beers event",1
"2","Wishing You All The Best This Holiday Season",1
"3","Winter camp is a safe, supervised, kid-friendly program held at Foothills Middle School. ",0
"4"," Not only did I and my daughter get to enjoy delicious pancakes, ",1
"5","My colleagues and I enjoyed another fun Thursday evening out on the City Hall lawn with the Kelly Rae Band.",1
"6","Arcadia High School will start the school year on Wednesday,",0
"7"," The Arcadia Police Foundation was created specifically to bring back K9s to Arcadia.",0
"8","Happy International Women’s Day! ",0
"9","For the first time in Arcadia’s history, women are the majority since December 2022!",0
"10"," I won the first 4 hands in a row! ",1
"11","Thank you to our Veterans who served and sacrificed so that we could enjoy the freedoms guaranteed in the Constitution of the United States without persecution.  ",0
"12"," I got to see so many wonderful friends and neighbors ",1
"13","The event honored all of the hardworking nurses, doctors, employees, and support staff of our hospital who serve our community.",0
"14","It was a wonderful event honoring the incredible women in our community.",0
"15","Today I got my car washed at my favorite car wash-Fasching’s",1
"16","This past weekend, I had the honor and privilege of spending an evening with Holocaust Survivor Joe Alexander ",0
"17","The Arcadia Woman’s Club is a all female volunteer group dedicated to empowering women.",0
"18","My father served in the army in WWII. ",1
"19","The Holocaust claimed the lives of up to 6 million people.",0
"20","I had a fabulous time at the Hakka Federation Cultural Festival yesterday. ",1
"21","Today is a beautiful day to celebrate the incredible planet we live on and the stunning natural spaces it offers.",0
"22"," I was up early yesterday morning to have coffee ",1
"23","Another beautiful weekend talking to voters!",0
"24","So you and I can enjoy our days at the beach",1
"25","Depression is a serious and common challenge facing Alzheimer’s family caregivers. ",0
"26","I would definitely play cat golf! ",1
"27","Wonder Husband says best barbacoa he has ever had! ",1
"28","Join me in supporting Elizabeth for Congress",0
"29","Can't wait to keep working together to elect pro-worker candidates",0
"30","Join us for a family-friendly neighborhood event with David Blewett!  ",1
"31","Come and enjoy coffee and breakfast snacks ",1
"32","Dallas–Fort Worth is becoming the de facto capital of America’s Heartland.",0
"33","Two women were hospitalized after being shot during a fight at a Lower Greenville bar early Sunday morning.",0
"34","Next Thursday, June 4, I will be holding a Zoom conference call to discuss the construction at 5714 Richmond Ave. ",0
"35"," Memorial Day is more than a long weekend. ",0
"36","Dallas police have lost hundreds of officers are struggling to hire more at a time with fewer people want to be cops",0
"37","I would just like to give a big shout-out to Downtown Dallas,",1
"38","I voted today",1
"39","I live and work in #D14 since 2002.",1
"40","discuss crime issues in our District. ",0
"41","The company hopes to attract commercial tenants",0
"42","I am generally an optimistic person",1
"43","This article is part of our State of the City project",0
"44","The last few weeks have seen so many emotions and so many events.",0
"45","My name is Elizabeth Blewett and I am the second oldest of the seven Blewett kids.",1
"46","I’m so very honored and excited to announce the opening of West End Square! ",0
"47"," As a father, he is compassionate, thoughtful, and considerate. ",1
"48"," The drivers, the cops, and the city are at an impasse. ",0
"49","Donald Trump voters told us why billionaires have too much power.",0
"50","Liz Gramlich, 28, from Philadelphia,",1
"51","I’m fine ",1
"52","Olivia Rodrigo, the new celebrity queen of reproductive freedom herself, ",0
"53","Trump is about to pull off the biggest grift of his life,",0
"54","I just wanted to introduce myself and share a photo I took",1
"55","
Volkswagen workers have made history.",0
"56"," this has been my favorite book forever!",1
"57","I'm going to call in the morning.",1
"58","Meghan Markle announced this morning that she would be releasing a new show on Netflix",0
"59","Thank you for watching Eric Deters World News with Jamie Spindley",0
"60","As a young boy, I spent summers mucking out stalls, painting fences, and helping out on my great-uncle's farm.",1
"61","25% Of Kentucky Is Depressed",0
"62","Russia wanted to sell its Alaskan territory, ",0
"63","You can support and follow Eric by visiting his website",0
"64","Tropical Storm Ida is expected to become a major hurricane ",0
"65","My husband died ",1
"66","Illegal migrant encounters broke all previous records in December 2023,",0
"67","The rate of inflation was higher than expected, ",0
"68","It is the honor of a lifetime to have been elected the 56th Speaker of the House.",0
"69","I hope everyone had a relaxing and joyful Thanksgiving! ",1
"70","We are excited to announce the 2023 School of Excellence awardees! ",0
"71","I’m deeply humbled and grateful",1
"72","Black and Latino communities have historically had higher uninsured rates despite facing greater risks of worse health outcomes.",0
"73","President Biden’s choice",0
"74","The gun control debate ",0
"75","Last week I hosted my ballots and beers event! ",1
"76","I am proud",1
"77","I was honored to join her for a round and celebrate this milestone birthday. Her secret to a long life:  getting out and staying active!  I look forward to celebrating her 101st birthday next year! ",1
"78","Asian Hall of Fame 2023 Induction Ceremony at the Biltmore, Los Angeles.  The Robert Chinn Foundation created this event in order to have a platform to recognize and lift up Asian Americans and their contributions.",0
"79","They provide wonderful services to patients and their families touched by cancer. When things are at their lowest and people are feeling their worst, there is a place they can go to and find peace, solace, hope and rejuvenation!  They even have a beautiful kitchen where they have cooking classes for recipes that help with cancer patients’ diet. ",1
"80","Law Day is recognized nationally in May each year and aims to deepen the understanding of the legal profession and celebrate the role of law in our nation’s history. The annual Law Day event in Arcadia has taken place for over two-decades and puts the value of legal service into action by offering 20-minutes of free legal counseling from volunteer attorneys specializing in a variety of areas.  I have personally volunteered at this event as an attorney offering free legal advice to those in need.  It’s been a very rewarding experience and I look forward to participating again this year! Appointments are required, so please visit the City’s website to book your appointment in advance.  #mayorofarcadia #thisisarcadia #arcadiaca #lawday #freelegaladvice",0
"81","Shadows from palm trees fall across the two-story Italian Renaissance facade of the Santa Anita Depot in Arcadia, ca. 1937. Tracks, benches and utility poles surround the building and a ""Santa Anita"" sign sits on the hipped shingled roof. Photo by Herman Schultheis. Source: LAPL  The Santa Anita Depot was constructed by the Atchison, Topeka and Santa Fe Railroad in 1890. The station serviced both freight and passenger trains from Baldwin Ranch and nearby Sierra Madre, and included upstairs living quarters. In 1970, the abandoned station was restored after being moved to the Arboretum from its original location a quarter mile north.",0
"82","Last week I hosted my ballots and beers event! We had a great turnout from the local community who all came out to enjoy a beer and fill out their ballot with me at Mt. Lowe Brewing Co. It was great to connect with my neighbors and I’m so grateful for the overwhelming support I received from everyone. The primary election is 7 days away, so be sure to get out and vote by March 5th! #MayorofArcadia #Ballots&Beers #thisisarcadia #cd28 #verlatoforcongress",0
"83","Did you know that one emergency ambulance ride can cost more than $2,000? Are you an Arcadia resident or business owner?  Since 1994, the City of Arcadia has offered the Paramedic Membership Program, which provides an option for Arcadia residents and business owners to protect themselves, their loved ones, or their employees from the high cost of emergency medical care.  ",0
"84","Let's Be Jolly! Sunday, December 24, 2023 Wishing You All The Best This Holiday Season As we gather with family and friends during this busy holiday weekend, I can't help but reflect on the accomplish",1
"85"," I started this event 8 years ago with the hope of bringing the community together in celebration of all the unique talents of neighbors and students.  We’ve accomplished that and then some!  Grateful for all the community support and our hardworking team ",0
"86","May the 4th Be With You!  It was a great morning for a Community Bike Ride through Arcadia!  Our amazing Recreation and Community Services Department organized a leisurely bike ride complete with Darth Vader and a Baby Yoda!  What a fabulous way to start the day!  Thank you to Sara Somogyi, Candice Cheung and Emily Buchanan for bringing the fun so early in the morning for Arcadia! We are so lucky to have such dedicated staff and fantastic families participating in this morning’s festivities.  It was such a special treat to see the joy on so many young faces as they headed out on to Campus Drive! ",0
"87","Last night I attended the San Gabriel City Council Meeting where I had the honor of recognizing three outstanding Councilmembers for their exemplary leadership and service to their community.  ",0
"88","Winter camp is a safe, supervised, kid-friendly program held at Foothills Middle School. Each day is filled with fun group activities, including crafts, board games, movies and snacks. ",0
"89","My colleagues and I enjoyed another fun Thursday evening out on the City Hall lawn with the Kelly Rae Band.  We had a large crowd enjoying country music even in this heat!  Come join us next Thursday for “Buffet Beach”",1
"90","Arcadia High School will start the school year on Wednesday, August 16th and the Arcadia Unified School District elementary and middle schools will start on Thursday, August 17th. Please be safe out there! ",0
"91","The bear may have gotten my peach tree in the front yard, but it still hasn’t found my nectarine tree in the side yard! ",1
"92","Happy International Women’s Day!  So proud to serve with these strong women on Arcadia City Council.  For the first time in Arcadia’s history, women are the majority since December 2022! ",0
"93","I am proud to announce that I have received the endorsement of five local city leaders! Many of them I have known and worked with for years and I’m honored to have their support for my campaign. Each of these local leaders are strong advocates for safe and prosperous cities, which I plan to continue to advocate for once elected to Congress. Thank you to each of them for their support!",1
"94","I was honored to welcome a new business, Nissi Law, APC. to West Covina! I was able to meet and present a certificate to the Principal Partners, Zhouming “Claire”Zhu and Sea Chen, and their staff at the new location. They provide a vital resource to the San Gabriel Valley for new immigrants.  This law firm strives to serve their community and help new immigrants navigate complex immigration laws. ",0
"95","Mahjong with the Mayor today at 1pm-3pm at Arcadia Community Center.  You don’t want to miss it!  ",0
"96"," I got to see so many wonderful friends and neighbors as we all came together to support the start of a great season! Little League Mom, Emily Moore sang an amazing rendition of the national anthem and then we were joined by a very special guest, Dodger Pitcher Dennis Powell who gave an inspirational speech to the kids and families of the importance of team sports.  I look forward to a great season cheering on the team in our community. ",1
"97","Thank you Sheriff Bob Gualtieri at Pinellas County Sheriff's Office & Florida Police Benevolent Association !",0
"98","Thank you Tactical Shit for hosting Team Luna & Gun Owners of America today at your store for our endorsement! 2A all the way!",0
"99","Corporal Matthew Aitken will be making a full recovery. Our LEOs sacrifice so much for our community. We will continue to keep the Aitken’s in our prayers and always back there blue! Thank you for your service to our community.",0
"100","Twenty years ago, on September 11, 2001, the United States suffered the largest terrorist attacks on its territory since the Japanese bombing of Pearl Harbor in 1941. The consequences scarred a generation. By Daniel Chang.",0
"101","Winners Honorable mention: Anna Paulina Luna. Republicans battling with the federal government isn’t anything new. Often, conservatives are griping about federal government overreach regarding regulation, taxes or, increasingly, law enforcement. ",0
"102","California already had to ask consumers last year to limit when they charge their electric vehicles, but that hasn't stopped climate radicals from continuing their push for an all-electric transition before the technology or American infrastructure can handle it.",0
"103","Wow🙏🏼 Packed house tonight at the Republican Liberty Caucus. Thank you for all who showed up and who signed up to volunteer!",0
"104","Our officers made a couple new friends today off Clearwater Beach on our police boat.",1
"105","Anna Paulina Luna has been trying to get Twitter verified since at least February — and it still hasn’t happened yet.",0
"106","Being a mom of young kids in Congress is hard. The rules here make it even harder, particularly for new mothers. I’m proud to join Rep. Anna Paulina Luna and Representative Sara Jacobs in introducing a rules change to make it easier for moms to do our jobs and care for our kids. It’s long overdue.",1
"107","I know who I’m voting for. They tried to set her up and it FAILEEEEDDD",1
"108","Our thoughts and prayers go out to the Hartwick family.  This is heartbreaking. ",1
"109","It was an honor to attend Param Shanti honoring Pramukh Swami Maharaj. There were thousands of people across Tampa Bay in attendance.✨Thank you for inviting Andy and I. ✨",0
"110","The plane took off from the Warren County airport and crashed in a nearby field, National Transportation Safety Board spokesman Peter Knudson said.",0
"111","Meet our new super volunteer Jeromy! He’s a vet and joined our team recently. It’s so awesome having people come out that have our back!",1
"112","Twenty years ago, on September 11, 2001, the United States suffered the largest terrorist attacks on its territory since the Japanese bombing of Pearl Harbor in 1941. The consequences scarred a generation. By Daniel Chang.",0
"113","Not only children should not be exposed to sexual issues at such a young age, but they should not be victims of the culture war and political fights unleashed by the left in this country",1
"114","I believe that you own yourself. And I hope you’d agree. Otherwise you’d be asserting that someone else has a greater claim to your life than you do.",1
"115","The most important property we own is our body.  To argue against self-ownership is to argue FOR slavery.  When someone tells us that we can't self-medicate, even to save our own lives (e.g., the FDA), they claim ownership over our bodies, but would take offense if we called them ""wannabe slave owners.""  The origin of property is self-ownership.  After all, slaves can own nothing without the consent of their masters.",0
"116","We want a new path built on solutions, not fear and hate politics. of the two old parties!",1
"117","I’m Colonel Thomas Chalifoux. I’m an Army veteran. A successful business owner. And I'm running for Congress to KEEP FLORIDA FREE!",1
"118","For the past two years, Americans have accepted more harm to children in exchange for less harm to adults.",0
"119","The announcement applied to 160,000 borrowers and brings the total debt canceled by the administration to $167 billion.",0
"120","Biden has already signed executive orders to offer coronavirus relief as he tries to pass a $1.9 trillion aid package in Congress.",0
"121","As federal agents patrol Portland and head to Chicago, Democrats call the president’s plan “an American crisis,” barely 100 days before the election.",0
"122","The 2006 sculpture honoring Tom Lee’s 1925 rescue of 32 people from the Mississippi River is a prominent part of plans to remake the popular park. But the fate of a 1954 monument that refers to Lee as a “very worthy Negro” is uncertain.",0
"123","""We can't just choose to learn what we want to know,"" President Biden said.",1
"124","Though I may not be here with you, I urge you to answer the highest calling of your heart and stand up for what you truly believe.",1
"125","Donald Trump has been indicted on felony charges for working to overturn the results of the 2020 election in the run-up to the violent riot by his supporters at the U.S.",0
"126","Happy Easter! He is Risen! ",1
"127","Merry Christmas 🎄from our family to yours. ",1
"128","Thank you 🙏🏻 to all who voted for me during the Republican Primary. I won 41% of the vote and now face a runoff. The job isn’t done. I ❤️ this district, state and country. I will beat Lucy McBath for Congress in Nov. America First is for ALL of 🇺🇸 not just Republicans. This is my promise.",0
"129","Celebrate the The 55th Anniversary of The Voting Rights Act of 1965 with Gresham City Councilor Eddy Morales and Oregon Representative Janelle Bynum.",0
"130","Welcome to this year's Academy Awards! Another congrats to our honorees: Alicia Garza, Darren Walker, and Michael Podhorzer!This is our annual fundraiser as...",0
"131","Hard work is better with friends. I'm thankful to be running with a team that is pulling in the same direction. While we give each other room to have different perspectives on issues, we are working together to bring about a shared vision for an inclusive and effective city government in Gresham.",1
"132","Please help find my friend’s dog Jasmin, last seen in Papago about a week ago. She is a sweet dog and doesn't come up to strangers easily. If you see her in the area please call.🙏🏽🙏🏽🙏🏽🙏🏽 She is a valued family member.",1
"133","I am proud of all I have done for Maryland. I have given my heart and soul to our great state, and I thank Marylanders for trusting me as your representative for all these years. Thank you, Maryland.",1
"134","A $430 million project investment is estimated to eliminate 80 percent of sewage overflows in Baltimore City.",0
"135","We will #neverforget the nearly 3,000 Americans who lost their lives on September 11th. We will continue to pray for their families and grieve for their tragic loss. Let’s remember those we lost, including the brave first responders who made the ultimate sacrifice to save others.",0
"136","COVID-19 remains a serious threat to our health and safety. By wearing a face mask and social distancing, we can stop the spread of COVID-19 and get back to doing the things we love. Remember: Be Safe to Stay Safe.",0
"137","Yesterday, County Executive Johnny Olszewski joined Sarah Johnson of The CASH Campaign of Maryland and WBAL's Jason Newton to talk about the county's new partnership with the CASH Campaign. Now, residents can call the County at 311 and arrange a free benefits screening with the CASH Campaign.",0
"138","Join me for our official campaign kickoff event!  ",1
"139","In an effort to expand access to the COVID-19 vaccine to underserved communities, primarily communities of color, Baltimore County is bringing vaccine clinics to those communities.",0
"140","The Bethlehem steel mill in Maryland was once the largest working mill in the world, employing 30,000 people at its peak in the 1950's. The collapse of the American steel industry forced the mill into bankruptcy, closing for good in 2012. Now, new economic opportunities are rising on the land where....",0
"141","The center of Tropical Storm Isaias will move near or over the east coast of Florida today through late tonight.",0
"142","Founded in 1758 by John Reister, Reister’s Town initially flourished because of its unique geographical location. Being a one-day journey by horse-drawn vehicle from Baltimore City, it was a convenient stopping place for weary travelers from the outer reaches of Western Maryland or Pennsylvania. T...",0
"143","A Norwegian company that manufactures drones announced that it will open its North American headquarters in Baltimore County.",0
"144","I will be speaking next Tuesday March 12 at 5 pm, about my campaign and what I believe in, to a community forum organized by Mr. Lester Gabriel. Location: Howell Public Library, 896 Lyons Blvd, Fredericksburg VA. Please come and join if you are able.",0
"145","To our friends in the Jewish community observing #YomKippur, we wish you an easy and meaningful fast. G’mar Chatima Tova.",1
"146","This is so funny 😂🤣 how is Marcy legitimately still in office?",1
"147","At least 233 people were killed and 618 people were injured by gun violence in more than 500 shootings across the country during the Fourth of July weekend, a 26% drop from last year's holiday weekend, according to the latest data compiled by the Gun Violence Archive.",0
"148","President Donald Trump’s unpopularity in the suburbs is threatening down-ballot Republicans, and Democrats are pummeling GOP incumbents on the airwaves.",0
"149","Zoom is the leader in modern enterprise video communications, with an easy, reliable cloud platform for video and audio conferencing, chat, and webinars across mobile, desktop, and room systems. Zoom Rooms is the original software-based conference room solution used around the world in board, confer...",0
"150","May the 4th Be With You... The Chamber celebrates Star Wars Day! ",1
"151","The law, which came into force on Thursday, aims to curb gun violence after newly released data show an increase in homicides across California in 2020. Murders increased by 31%, and in most cases murderers used guns. The rules regarding who and how often guns can be purchased in California have cha...",0
"152","This morning the BobcatFire is at 50,539 acres with 3% containment and 1,285 personnel.  It did cross Hwy 2 near junction with Hwy 39.  New evacuation warnings have been issued to the north.",0
"153","I have spent the past 30 years of my life as an educator in California, and I know firsthand that California teachers and schools are not currently prepared, staffed, or resourced to respond to Cal…",1
"154","On Saturday, March 11th, residents gathered together at the Burbank Community Garden with local and master gardeners, city officials and representatives from the Parks and Recreation department to accept a check from Senator Portantino awarded by the 25th Senate District of California.",0
"155","EXCITING NEWS: California Governor Gavin Newsom has signed the 2022-2023 State Budget with $10 million in new funding for the Armenian American Museum currently under construction in the City of Glendale! California Governor  Gavin Newsom  Anthony Portantino  City of Glendale, CA",0
"156","Are you struggling? We are Thinking of you 💜💜",1
"157","Five-term Phoenix-area Congressman Ruben Gallego hosted a town hall Sunday in hopes of winning over voters in his bid for Senate.",0
"158","Today, I stood humbly over what remains of the USS Arizona and was once again reminded that our freedom is not free. Daily we must ensure that what we embrace and tolerate as Americans is worth dying for….because somebody did. #grateful #pearlharbor #dday",1
"159","It's Official!  Quacy Smith launches his campaign for the United States Congress for Arizona's 9th Congressional District! ",0
"160","“79 years ago, faithful & devoted men stormed the beaches of Normandy to defend freedom & democracy. Today we mark the anniversary of D-Day, and recall the courage and bravery of our military. A solemn reminder that sacrifice is our greatest strength as country in this world. 🇺🇸”",0
"161","It's Official!  Quacy Smith launches his campaign for the United States Congress for Arizona's 9th Congressional District!  ",0
"162","As the crisis in Afghanistan unfolds, The Department of Veteran Affairs is prioritizing the mental health of Central Louisiana veterans.",0
"163","A Louisiana manufacturer is investing $176 million to expand its graphite processing plant in Vidalia.",0
"164","Every home in the U.S. is eligible to order 4 free at-home COVID-19 tests. The tests are completely free. Orders will usually ship in 7-12 days.",0
"165","More than 91,000 people were hospitalized with the coronavirus on Saturday — over 6,000 of them on ventilators. With the holiday season fast approaching, health experts fear the worst is yet to come.",0
"166","A year into the pandemic, more than 18 million people are still receiving some form of unemployment benefit.",0
"167","His final resting place will be next to his mother, whom Floyd cried out for two weeks ago as he lay pinned under the knee of a Minneapolis police officer.",1
"168","Zaila, a 14-year-old from Harvey, La., won on the word “Murraya.” She became the first Black American to win the Scripps National Spelling Bee in almost 100 years of contests.",0
"169","I Been Staying Down For What I Want , I Deserve Dis Life",1
